Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar
AT4G02590,p01-r04-c14,bHLH,UNE12,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT4G29190,p01-r04-c15,C3H,AtC3H49,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G18020,p01-r04-c16,ARR-B,PRR2,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT4G27410,p01-r04-c17,NAC,AtRD26,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G14410,p01-r04-c18,bHLH,bHLH104,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT3G10480,p01-r04-c19,NAC,ANAC050,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G00180,p01-r04-c20,C2C2-YABBY,YAB3,Nucleus,Chromosome
AT1G68550,p01-r04-c21,AP2-EREBP,CRF10,Nucleus,Chromosome
AT1G04990,p01-r04-c22,C3H,AT1G04990,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G41835,p01-r04-c23,C2H2,AT2G41835,Nucleus,Chromosome
AT3G13350,p01-r04-c24,ARID,AT3G13350,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G09530,p01-r05-c01,bHLH,PIF3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G71450,p01-r05-c02,AP2-EREBP,FUF1,Nucleus,Chromosome
AT3G05200,p01-r05-c03,ND,ATL6,Membrane,Cell membrane
AT5G01200,p01-r05-c04,MYB,AT5G01200,Nucleus,Chromosome
AT2G42360,p01-r05-c05,ND,AT2G42360,Endoplasmic,Endoplasmic reticulum membrane
AT3G10590,p01-r05-c06,MYB,AT3G10590,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G11680,p01-r05-c07,ND,AT4G11680,Endoplasmic,Endoplasmic reticulum membrane
AT3G61250,p01-r05-c08,MYB,LMI2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G63840,p01-r05-c09,ND,AT1G63840,Endoplasmic,Endoplasmic reticulum membrane
AT3G10580,p01-r05-c10,MYB-related,AT3G10580,Nucleus,Chromosome
AT2G20180,p01-r05-c11,bHLH,PIF1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G71030,p01-r05-c12,MYB-related,ATMYBL2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G22750,p01-r05-c13,bHLH,AT2G22750,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT5G26660,p01-r05-c14,MYB,ATMYB86,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G37730,p01-r05-c15,bZIP,AtbZIP7,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G11250,p01-r05-c16,MADS,AGL52,Nucleus,Chromosome
AT5G24800,p01-r05-c17,bZIP,BZIP9,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G41200,p01-r05-c18,MADS,AGL75,Nucleus,Chromosome
AT2G22760,p01-r05-c19,bHLH,AT2G22760,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G65330,p01-r05-c20,MADS,PHE1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G10030,p01-r05-c21,bZIP,TGA4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G13450,p01-r05-c22,TRIHELIX,GT-1,Nucleus,Chromosome
AT4G36900,p01-r05-c23,AP2-EREBP,RAP2.10,Nucleus,Chromosome
AT1G49560,p01-r05-c24,G2-like,AT1G49560,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G39760,p01-r06-c01,zf-HD,ZHD10,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G52010,p01-r06-c02,C2H2,AT5G52010,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT2G44150,p01-r06-c03,SET,SDG7,Nucleus,Chromosome
AT3G12480,p01-r06-c04,CCAAT,NF-YC11,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G50420,p01-r06-c05,GRAS,SCL3,Nucleus,Chromosome
AT5G03740,p01-r06-c06,C2H2,HD2C,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G44260,p01-r06-c07,C3H,AtTZF5,Nucleus,Chromosome
AT1G14920,p01-r06-c08,GRAS,RGA2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G51140,p01-r06-c09,bHLH,AKS1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G29580,p01-r06-c10,C3H,MAC5B,Nucleus,Chromosome
AT4G39100,p01-r06-c11,PHD,SHL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G01470,p01-r06-c12,HB,HD-ZIP-1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G39610,p01-r06-c13,NAC,ANAC092,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G31370,p01-r06-c14,bZIP,PosF21,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G27360,p01-r06-c15,SBP,SPL11,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G21000,p01-r06-c16,PLATZ,AT1G21000,Nucleus,Chromosome
AT2G31230,p01-r06-c17,AP2-EREBP,ATERF15,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G58620,p01-r06-c18,C3H,TZF9,Cytoplasm,"Cytoplasm, cytoskeleton"
AT5G65320,p01-r06-c19,bHLH,AT5G65320,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G35550,p01-r06-c20,HB,HB-4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G57660,p01-r06-c21,C2C2-CO-like,ATCOL5,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G45260,p01-r06-c22,C2H2,BIB,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G53160,p01-r06-c23,SBP,SPL4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G18880,p01-r06-c24,HSF,AT-HSFA4A,Nucleus,Chromosome
AT1G80580,p01-r07-c01,AP2-EREBP,AT1G80580,Nucleus,Chromosome
AT1G68320,p01-r07-c02,MYB,BW62B,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G56970,p01-r07-c03,bHLH,ORG2,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT2G40260,p01-r07-c04,G2-like,AT2G40260,Nucleus,Chromosome
AT4G30980,p01-r07-c05,bHLH,LRL2,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT3G27920,p01-r07-c06,MYB,GL1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G01720,p01-r07-c07,NAC,ATAF1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G56110,p01-r07-c08,MYB,MS188,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G18400,p01-r07-c09,NAC,ANAC058,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G56840,p01-r07-c10,MYB-related,AT5G56840,Nucleus,Chromosome
AT5G22380,p01-r07-c11,NAC,NAC090,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G15580,p01-r07-c12,AUX-IAA,IAA5,Nucleus,Chromosome
AT5G67060,p01-r07-c13,bHLH,HEC1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G23140,p01-r07-c14,C2H2,URO,Nucleus,Nucleus speckle; Chromosome
AT2G41240,p01-r07-c15,bHLH,BHLH100,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G58070,p01-r07-c16,C2H2,GIS,Nucleus,Nucleus speckle; Chromosome
AT5G59340,p01-r07-c17,HB,WOX2,Nucleus,"Nucleus, nucleolus; Nucleus membrane; Nucleus speckle; Chromosome"
AT5G53040,p01-r07-c18,RWP-RK,RKD4,Nucleus,Chromosome
AT5G45980,p01-r07-c19,HB,WOX9B,Nucleus,Nucleus speckle; Chromosome
AT2G41130,p01-r07-c20,bHLH,STC8,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G62100,p01-r07-c21,AUX-IAA,IAA30,Nucleus,Chromosome
AT3G56770,p01-r07-c22,bHLH,AT3G56770,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G67260,p01-r07-c23,TCP,TCP1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G56980,p01-r07-c24,bHLH,bHLH39,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G11440,p01-r08-c01,MYB,MYB65,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G01010,p01-r08-c02,NAC,NAC001,Nucleus,Chromosome
AT5G22570,p01-r08-c03,WRKY,WRKY38,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G46310,p01-r08-c04,AP2-EREBP,CRF5,Nucleus,Chromosome
AT1G24625,p01-r08-c05,C2H2,ZFP7,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G77080,p01-r08-c06,MADS,FLM,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G42400,p01-r08-c07,VOZ,VOZ2,Nucleus,Chromosome
AT5G15800,p01-r08-c08,MADS,44805,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G47640,p01-r08-c09,CCAAT,NF-YB2,Nucleus,Chromosome
AT4G30410,p01-r08-c10,bHLH,IBL1,Nucleus,Chromosome
AT3G44460,p01-r08-c11,bZIP,AtbZIP67,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT2G27990,p01-r08-c12,HB,BLH8,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G09460,p01-r08-c13,MYB,MYB6,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G55520,p01-r08-c14,ND,TBP2,Nucleus,Chromosome
AT2G18300,p01-r08-c15,bHLH,HBI1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT1G03840,p01-r08-c16,C2H2,MGP,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT5G28640,p01-r08-c17,GIF,GIF,Nucleus,Chromosome
AT3G29035,p01-r08-c18,NAC,ANAC059,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G15510,p01-r08-c19,NAC,ANAC056,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G58120,p01-r08-c20,bZIP,BZIP61,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT3G48160,p01-r08-c21,E2F-DP,DEL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G46130,p01-r08-c22,WRKY,WRKY43,Nucleus,Chromosome
AT1G69690,p01-r08-c23,TCP,AtTCP15,Nucleus,Chromosome
AT1G08780,p01-r08-c24,ND,PFD4,Cytoplasm,"Cytoplasm, cytoskeleton"
AT5G41030,p01-r09-c01,TCP,AT5G41030,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G22490,p01-r09-c02,bHLH,bHLH094,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G35560,p01-r09-c03,TCP,TCP23,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G53210,p01-r09-c04,bHLH,SPCH,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G08070,p01-r09-c05,TCP,TCP17,Nucleus,Chromosome
AT3G57920,p01-r09-c06,SBP,SPL15,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G69180,p01-r09-c07,C2C2-YABBY,CRC,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G49120,p01-r09-c08,AP2-EREBP,CRF9,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G08465,p01-r09-c09,C2C2-YABBY,YAB2,Nucleus,Chromosome
AT3G57600,p01-r09-c10,AP2-EREBP,AT3G57600,Nucleus,Chromosome
AT5G64060,p01-r09-c11,NAC,NAC103,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G60490,p01-r09-c12,AP2-EREBP,AT3G60490,Nucleus,Chromosome
AT3G50650,p01-r09-c13,GRAS,AT3G50650,Nucleus,Chromosome
AT4G27950,p01-r09-c14,AP2-EREBP,CRF4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G66600,p01-r09-c15,WRKY,WRKY63,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G11190,p01-r09-c16,AP2-EREBP,SHN2,Nucleus,Chromosome
AT4G35610,p01-r09-c17,C2H2,AT4G35610,Nucleus,Chromosome
AT2G47270,p01-r09-c18,bHLH,UPB1,Nucleus,Chromosome
AT4G35280,p01-r09-c19,C2H2,DAZ2,Nucleus,Nucleus speckle; Chromosome
AT3G50410,p01-r09-c20,C2C2-DOF,OBP1,Nucleus,Chromosome
AT5G05410,p01-r09-c21,AP2-EREBP,DREB2,Nucleus,Chromosome
AT1G35490,p01-r09-c22,bZIP,AT1G35490,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G16280,p01-r09-c23,AP2-EREBP,AT3G16280,Nucleus,Chromosome
AT4G26150,p01-r09-c24,C2C2-GATA,CGA1,Nucleus,Chromosome
AT2G28510,p01-r10-c01,C2C2-DOF,AT2G28510,Nucleus,Chromosome
AT1G15360,p01-r10-c02,AP2-EREBP,SHN1,Nucleus,Chromosome
AT2G47810,p01-r10-c03,CCAAT,NF-YB5,Nucleus,Chromosome
AT5G14000,p01-r10-c04,NAC,ANAC084,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G16610,p01-r10-c05,C2H2,AT4G16610,Nucleus,"Nucleus, nucleolus"
AT4G32890,p01-r10-c06,C2C2-GATA,GATA9,Nucleus,"Nucleus, PML body; Chromosome"
AT4G01060,p01-r10-c07,MYB-related,ETC3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G36570,p01-r10-c08,MYB-related,ATRL3,Cytoplasm,"Cytoplasm, cytoskeleton"
AT5G25190,p01-r10-c09,AP2-EREBP,ESE3,Nucleus,Chromosome
AT2G25000,p01-r10-c10,WRKY,WRKY60,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G03470,p01-r10-c11,MYB-related,AT2G03470,Nucleus,Chromosome
AT5G05090,p01-r10-c12,G2-like,AT5G05090,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G08810,p01-r10-c13,MYB,AtMYB60,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G02470,p01-r10-c14,E2F-DP,DPA,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G17785,p01-r10-c15,MYB,MYB39,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G69170,p01-r10-c16,SBP,AtSPL6,Nucleus,Chromosome
AT4G16780,p01-r10-c17,HB,ATHB2,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT3G15270,p01-r10-c18,SBP,SPL5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G67580,p01-r10-c19,MYB-related,TBP3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G57480,p01-r10-c20,C2H2,AT3G57480,Nucleus,Chromosome
AT1G23380,p01-r10-c21,HB,KNAT6L,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G25470,p01-r10-c22,AP2-EREBP,CRF12,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G31610,p01-r10-c23,ABI3-VP1,ATREM1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G55530,p01-r10-c24,ND,SDIR1,Endoplasmic,Endoplasmic reticulum membrane
AT4G32980,p01-r11-c01,HB,ATH1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G25830,p01-r11-c02,C2C2-GATA,GATA12,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G34610,p01-r11-c03,HB,BLH6,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G16530,p01-r11-c04,LOB,ASL9,Nucleus,Chromosome
AT3G12820,p01-r11-c05,MYB,AtMYB10,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G07900,p01-r11-c06,LOB,LBD1,Nucleus,Chromosome
AT1G79180,p01-r11-c07,MYB,ATMYB63,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G28500,p01-r11-c08,LOB,LBD11,Nucleus,Chromosome
AT3G21880,p01-r11-c09,C2C2-CO-like,BBX10,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G42430,p01-r11-c10,LOB,ASL18,Nucleus,Chromosome
AT2G47890,p01-r11-c11,C2C2-CO-like,AT2G47890,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G45410,p01-r11-c12,LOB,LBD19,Nucleus,Chromosome
AT5G61420,p01-r11-c13,MYB,HAG1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G45420,p01-r11-c14,LOB,LBD18,Nucleus,Chromosome
AT5G06800,p01-r11-c15,G2-like,AT5G06800,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G47870,p01-r11-c16,LOB,LBD27,Nucleus,Chromosome
AT5G45580,p01-r11-c17,G2-like,AT5G45580,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G06280,p01-r11-c18,LOB,LBD2,Nucleus,Chromosome
AT1G17950,p01-r11-c19,MYB,MYB52,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G15830,p01-r11-c20,bZIP,AtbZIP3,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G21120,p01-r11-c21,EIL,EIL2,Nucleus,Chromosome
AT1G06070,p01-r11-c22,bZIP,bZIP69,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
